	subject	activity	measure	value
4808	8	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.130740445
4809	9	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.325042891
4810	10	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.21435028
4811	11	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.318777013
4812	12	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.178856167
4813	13	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.319677125
4814	14	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.295315542
4815	15	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.227359565
4816	16	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.420844009
4817	17	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.316412963
4818	18	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.489232275
4819	19	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	0.474962448
4820	20	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.06295726
4821	21	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.366748753
4822	22	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.095434934
4823	23	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.214730713
4824	24	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.272469212
4825	25	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.217799724
4826	26	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.125918155
4827	27	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.296628612
4828	28	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.029996996
4829	29	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.189418001
4830	30	WALKING_DOWNSTAIRS	fBodyGyro-mean()-X	-0.263061628
4831	1	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.492611668
4832	2	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.331643577
4833	3	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.378216682
4834	4	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.371068993
4835	5	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.263615096
4836	6	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.115065008
4837	7	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.383889343
4838	8	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.240260762
4839	9	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.313941631
4840	10	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.218524717
4841	11	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.471782782
4842	12	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.426360332
4843	13	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.482113008
4844	14	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.441048359
4845	15	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.361096857
4846	16	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.532399716
4847	17	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.416223018
4848	18	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.59232371
4849	19	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.19448551
4850	20	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.372684354
4851	21	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.446974007
4852	22	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.195456993
4853	23	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.430239229
4854	24	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.503188685
4855	25	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.476144999
4856	26	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.427686571
4857	27	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.544369229
4858	28	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.403636284
4859	29	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.26051929
4860	30	WALKING_UPSTAIRS	fBodyGyro-mean()-X	-0.488039003
4861	1	LAYING	fBodyGyro-mean()-Y	-0.952191495
4862	2	LAYING	fBodyGyro-mean()-Y	-0.983321635
4863	3	LAYING	fBodyGyro-mean()-Y	-0.978099682
4864	4	LAYING	fBodyGyro-mean()-Y	-0.972187839
4865	5	LAYING	fBodyGyro-mean()-Y	-0.978249646
4866	6	LAYING	fBodyGyro-mean()-Y	-0.941771544
4867	7	LAYING	fBodyGyro-mean()-Y	-0.957570208
4868	8	LAYING	fBodyGyro-mean()-Y	-0.95741116
4869	9	LAYING	fBodyGyro-mean()-Y	-0.934579659
4870	10	LAYING	fBodyGyro-mean()-Y	-0.954670034
4871	11	LAYING	fBodyGyro-mean()-Y	-0.982640272
4872	12	LAYING	fBodyGyro-mean()-Y	-0.95256172
4873	13	LAYING	fBodyGyro-mean()-Y	-0.968689729
4874	14	LAYING	fBodyGyro-mean()-Y	-0.938087898
4875	15	LAYING	fBodyGyro-mean()-Y	-0.964310894
4876	16	LAYING	fBodyGyro-mean()-Y	-0.976092921
4877	17	LAYING	fBodyGyro-mean()-Y	-0.973669099
4878	18	LAYING	fBodyGyro-mean()-Y	-0.985611171
4879	19	LAYING	fBodyGyro-mean()-Y	-0.972061003
4880	20	LAYING	fBodyGyro-mean()-Y	-0.97312003
4881	21	LAYING	fBodyGyro-mean()-Y	-0.964968005
4882	22	LAYING	fBodyGyro-mean()-Y	-0.964698259
4883	23	LAYING	fBodyGyro-mean()-Y	-0.968469136
4884	24	LAYING	fBodyGyro-mean()-Y	-0.96611198
4885	25	LAYING	fBodyGyro-mean()-Y	-0.946259639
4886	26	LAYING	fBodyGyro-mean()-Y	-0.983127999
4887	27	LAYING	fBodyGyro-mean()-Y	-0.986795837
4888	28	LAYING	fBodyGyro-mean()-Y	-0.965824456
4889	29	LAYING	fBodyGyro-mean()-Y	-0.993696337
4890	30	LAYING	fBodyGyro-mean()-Y	-0.968170332
4891	1	SITTING	fBodyGyro-mean()-Y	-0.975838585
4892	2	SITTING	fBodyGyro-mean()-Y	-0.982100924
4893	3	SITTING	fBodyGyro-mean()-Y	-0.95617355
4894	4	SITTING	fBodyGyro-mean()-Y	-0.967583648
4895	5	SITTING	fBodyGyro-mean()-Y	-0.955460359
4896	6	SITTING	fBodyGyro-mean()-Y	-0.943857393
4897	7	SITTING	fBodyGyro-mean()-Y	-0.956678065
4898	8	SITTING	fBodyGyro-mean()-Y	-0.97658989
4899	9	SITTING	fBodyGyro-mean()-Y	-0.939693008
4900	10	SITTING	fBodyGyro-mean()-Y	-0.986179216
4901	11	SITTING	fBodyGyro-mean()-Y	-0.982636645
4902	12	SITTING	fBodyGyro-mean()-Y	-0.963725249
4903	13	SITTING	fBodyGyro-mean()-Y	-0.982456054
4904	14	SITTING	fBodyGyro-mean()-Y	-0.96980673
4905	15	SITTING	fBodyGyro-mean()-Y	-0.979201725
4906	16	SITTING	fBodyGyro-mean()-Y	-0.966796002
4907	17	SITTING	fBodyGyro-mean()-Y	-0.98879398
4908	18	SITTING	fBodyGyro-mean()-Y	-0.988702701
4909	19	SITTING	fBodyGyro-mean()-Y	-0.968188676
4910	20	SITTING	fBodyGyro-mean()-Y	-0.964643069
4911	21	SITTING	fBodyGyro-mean()-Y	-0.979830938
4912	22	SITTING	fBodyGyro-mean()-Y	-0.959161754
4913	23	SITTING	fBodyGyro-mean()-Y	-0.957920289
4914	24	SITTING	fBodyGyro-mean()-Y	-0.981200181
4915	25	SITTING	fBodyGyro-mean()-Y	-0.983827801
4916	26	SITTING	fBodyGyro-mean()-Y	-0.981740793
4917	27	SITTING	fBodyGyro-mean()-Y	-0.984141119
4918	28	SITTING	fBodyGyro-mean()-Y	-0.963117634
4919	29	SITTING	fBodyGyro-mean()-Y	-0.990329245
4920	30	SITTING	fBodyGyro-mean()-Y	-0.982005883
4921	1	STANDING	fBodyGyro-mean()-Y	-0.988984456
4922	2	STANDING	fBodyGyro-mean()-Y	-0.972576153
4923	3	STANDING	fBodyGyro-mean()-Y	-0.937711157
4924	4	STANDING	fBodyGyro-mean()-Y	-0.955992945
4925	5	STANDING	fBodyGyro-mean()-Y	-0.939373524
4926	6	STANDING	fBodyGyro-mean()-Y	-0.943273146
4927	7	STANDING	fBodyGyro-mean()-Y	-0.957548671
4928	8	STANDING	fBodyGyro-mean()-Y	-0.972595487
4929	9	STANDING	fBodyGyro-mean()-Y	-0.954514302
4930	10	STANDING	fBodyGyro-mean()-Y	-0.960323801
4931	11	STANDING	fBodyGyro-mean()-Y	-0.994025488
4932	12	STANDING	fBodyGyro-mean()-Y	-0.948251857
4933	13	STANDING	fBodyGyro-mean()-Y	-0.97291308
4934	14	STANDING	fBodyGyro-mean()-Y	-0.950836195
4935	15	STANDING	fBodyGyro-mean()-Y	-0.975133869
4936	16	STANDING	fBodyGyro-mean()-Y	-0.983594245
4937	17	STANDING	fBodyGyro-mean()-Y	-0.987334041
4938	18	STANDING	fBodyGyro-mean()-Y	-0.98356116
4939	19	STANDING	fBodyGyro-mean()-Y	-0.975061672
4940	20	STANDING	fBodyGyro-mean()-Y	-0.910649141
4941	21	STANDING	fBodyGyro-mean()-Y	-0.960082591
4942	22	STANDING	fBodyGyro-mean()-Y	-0.97068244
4943	23	STANDING	fBodyGyro-mean()-Y	-0.952781165
4944	24	STANDING	fBodyGyro-mean()-Y	-0.970426494
4945	25	STANDING	fBodyGyro-mean()-Y	-0.978399885
4946	26	STANDING	fBodyGyro-mean()-Y	-0.98388591
4947	27	STANDING	fBodyGyro-mean()-Y	-0.983731873
4948	28	STANDING	fBodyGyro-mean()-Y	-0.948160785
4949	29	STANDING	fBodyGyro-mean()-Y	-0.991586674
4950	30	STANDING	fBodyGyro-mean()-Y	-0.945628837
4951	1	WALKING	fBodyGyro-mean()-Y	-0.103059416
4952	2	WALKING	fBodyGyro-mean()-Y	-0.554772112
4953	3	WALKING	fBodyGyro-mean()-Y	-0.561526265
4954	4	WALKING	fBodyGyro-mean()-Y	-0.688460057
4955	5	WALKING	fBodyGyro-mean()-Y	-0.513951718
4956	6	WALKING	fBodyGyro-mean()-Y	-0.341378429
4957	7	WALKING	fBodyGyro-mean()-Y	-0.151966687
4958	8	WALKING	fBodyGyro-mean()-Y	-0.259729692
4959	9	WALKING	fBodyGyro-mean()-Y	-0.436905861
4960	10	WALKING	fBodyGyro-mean()-Y	-0.345209035
4961	11	WALKING	fBodyGyro-mean()-Y	-0.593107398
4962	12	WALKING	fBodyGyro-mean()-Y	-0.467886338
4963	13	WALKING	fBodyGyro-mean()-Y	-0.256213555
4964	14	WALKING	fBodyGyro-mean()-Y	-0.21589495
4965	15	WALKING	fBodyGyro-mean()-Y	-0.535422096
4966	16	WALKING	fBodyGyro-mean()-Y	-0.61973193
4967	17	WALKING	fBodyGyro-mean()-Y	-0.490166287
4968	18	WALKING	fBodyGyro-mean()-Y	-0.570898151
4969	19	WALKING	fBodyGyro-mean()-Y	-0.097354985
4970	20	WALKING	fBodyGyro-mean()-Y	0.031014597
4971	21	WALKING	fBodyGyro-mean()-Y	-0.371744087
4972	22	WALKING	fBodyGyro-mean()-Y	-0.501176902
4973	23	WALKING	fBodyGyro-mean()-Y	0.195569462
4974	24	WALKING	fBodyGyro-mean()-Y	-0.479841433
4975	25	WALKING	fBodyGyro-mean()-Y	-0.67875035
4976	26	WALKING	fBodyGyro-mean()-Y	-0.561827766
4977	27	WALKING	fBodyGyro-mean()-Y	-0.534724231
4978	28	WALKING	fBodyGyro-mean()-Y	-0.50468174
4979	29	WALKING	fBodyGyro-mean()-Y	-0.362232316
4980	30	WALKING	fBodyGyro-mean()-Y	-0.175900924
4981	1	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.055702252
4982	2	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.361913824
4983	3	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.542694164
4984	4	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.71754584
4985	5	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.382483075
4986	6	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.130327466
4987	7	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.214443073
4988	8	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	0.116090879
4989	9	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.312512195
4990	10	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.27249571
4991	11	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.528254524
4992	12	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.420631474
4993	13	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.133828887
4994	14	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	0.013208235
4995	15	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.402332302
4996	16	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.479512984
4997	17	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.451126869
4998	18	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.641527595
4999	19	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	0.147083144
5000	20	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.138097946
5001	21	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.308879866
5002	22	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.52500684
5003	23	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	0.32881701
5004	24	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.433475432
5005	25	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.632916352
5006	26	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.44312621
5007	27	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.402132811
5008	28	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.217100158
5009	29	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.463125032
5010	30	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Y	-0.34806512
5011	1	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.319474609
5012	2	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.488086124
5013	3	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.637293508
5014	4	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.684310202
5015	5	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.516609047
5016	6	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.32965378
5017	7	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.567920266
5018	8	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.113162144
5019	9	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.499159203
5020	10	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.235858986
5021	11	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.581167154
5022	12	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.604711316
5023	13	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.492176105
5024	14	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	0.118687692
5025	15	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.517025246
5026	16	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.642018064
5027	17	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.521435415
5028	18	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.649817267
5029	19	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.225421817
5030	20	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.162341386
5031	21	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.446691582
5032	22	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.523943752
5033	23	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.290447409
5034	24	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.546620981
5035	25	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.618579913
5036	26	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.61711254
5037	27	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.59409258
5038	28	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.522066501
5039	29	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.394045341
5040	30	WALKING_UPSTAIRS	fBodyGyro-mean()-Y	-0.366058433
5041	1	LAYING	fBodyGyro-mean()-Z	-0.909302721
5042	2	LAYING	fBodyGyro-mean()-Z	-0.962671888
5043	3	LAYING	fBodyGyro-mean()-Z	-0.962341961
5044	4	LAYING	fBodyGyro-mean()-Z	-0.961479263
5045	5	LAYING	fBodyGyro-mean()-Z	-0.963202948
5046	6	LAYING	fBodyGyro-mean()-Z	-0.932636613
5047	7	LAYING	fBodyGyro-mean()-Z	-0.956905311
5048	8	LAYING	fBodyGyro-mean()-Z	-0.967461239
5049	9	LAYING	fBodyGyro-mean()-Z	-0.959815009
5050	10	LAYING	fBodyGyro-mean()-Z	-0.969755777
5051	11	LAYING	fBodyGyro-mean()-Z	-0.961434421
5052	12	LAYING	fBodyGyro-mean()-Z	-0.945673242
5053	13	LAYING	fBodyGyro-mean()-Z	-0.96912688
5054	14	LAYING	fBodyGyro-mean()-Z	-0.949107163
5055	15	LAYING	fBodyGyro-mean()-Z	-0.9581901
5056	16	LAYING	fBodyGyro-mean()-Z	-0.985957788
5057	17	LAYING	fBodyGyro-mean()-Z	-0.976164852
5058	18	LAYING	fBodyGyro-mean()-Z	-0.984999292
5059	19	LAYING	fBodyGyro-mean()-Z	-0.973932333
5060	20	LAYING	fBodyGyro-mean()-Z	-0.972278604
5061	21	LAYING	fBodyGyro-mean()-Z	-0.980811216
5062	22	LAYING	fBodyGyro-mean()-Z	-0.94257024
5063	23	LAYING	fBodyGyro-mean()-Z	-0.984238808
5064	24	LAYING	fBodyGyro-mean()-Z	-0.981093036
5065	25	LAYING	fBodyGyro-mean()-Z	-0.924536861
5066	26	LAYING	fBodyGyro-mean()-Z	-0.97017122
5067	27	LAYING	fBodyGyro-mean()-Z	-0.979202019
5068	28	LAYING	fBodyGyro-mean()-Z	-0.961164845
5069	29	LAYING	fBodyGyro-mean()-Z	-0.976184323
5070	30	LAYING	fBodyGyro-mean()-Z	-0.967577361
5071	1	SITTING	fBodyGyro-mean()-Z	-0.951315544
5072	2	SITTING	fBodyGyro-mean()-Z	-0.959814822
5073	3	SITTING	fBodyGyro-mean()-Z	-0.934967959
5074	4	SITTING	fBodyGyro-mean()-Z	-0.933776892
5075	5	SITTING	fBodyGyro-mean()-Z	-0.938003426
5076	6	SITTING	fBodyGyro-mean()-Z	-0.934764895
5077	7	SITTING	fBodyGyro-mean()-Z	-0.947419933
5078	8	SITTING	fBodyGyro-mean()-Z	-0.961798677
5079	9	SITTING	fBodyGyro-mean()-Z	-0.940312313
5080	10	SITTING	fBodyGyro-mean()-Z	-0.96539547
5081	11	SITTING	fBodyGyro-mean()-Z	-0.954453821
5082	12	SITTING	fBodyGyro-mean()-Z	-0.955718184
5083	13	SITTING	fBodyGyro-mean()-Z	-0.968384416
5084	14	SITTING	fBodyGyro-mean()-Z	-0.957020859
5085	15	SITTING	fBodyGyro-mean()-Z	-0.966731518
5086	16	SITTING	fBodyGyro-mean()-Z	-0.960058264
5087	17	SITTING	fBodyGyro-mean()-Z	-0.981617098
5088	18	SITTING	fBodyGyro-mean()-Z	-0.983027386
5089	19	SITTING	fBodyGyro-mean()-Z	-0.968235778
5090	20	SITTING	fBodyGyro-mean()-Z	-0.950963364
5091	21	SITTING	fBodyGyro-mean()-Z	-0.976839729
5092	22	SITTING	fBodyGyro-mean()-Z	-0.948367052
5093	23	SITTING	fBodyGyro-mean()-Z	-0.965428834
5094	24	SITTING	fBodyGyro-mean()-Z	-0.974686891
5095	25	SITTING	fBodyGyro-mean()-Z	-0.97580589
5096	26	SITTING	fBodyGyro-mean()-Z	-0.970423694
5097	27	SITTING	fBodyGyro-mean()-Z	-0.976848134
5098	28	SITTING	fBodyGyro-mean()-Z	-0.954180279
5099	29	SITTING	fBodyGyro-mean()-Z	-0.973933595
5100	30	SITTING	fBodyGyro-mean()-Z	-0.96117711
5101	1	STANDING	fBodyGyro-mean()-Z	-0.980773123
5102	2	STANDING	fBodyGyro-mean()-Z	-0.960627696
5103	3	STANDING	fBodyGyro-mean()-Z	-0.916172538
5104	4	STANDING	fBodyGyro-mean()-Z	-0.915280955
5105	5	STANDING	fBodyGyro-mean()-Z	-0.907190837
5106	6	STANDING	fBodyGyro-mean()-Z	-0.943239602
5107	7	STANDING	fBodyGyro-mean()-Z	-0.957165056
5108	8	STANDING	fBodyGyro-mean()-Z	-0.975512277
5109	9	STANDING	fBodyGyro-mean()-Z	-0.941510336
5110	10	STANDING	fBodyGyro-mean()-Z	-0.950915731
5111	11	STANDING	fBodyGyro-mean()-Z	-0.980762968
5112	12	STANDING	fBodyGyro-mean()-Z	-0.952601953
5113	13	STANDING	fBodyGyro-mean()-Z	-0.974394378
5114	14	STANDING	fBodyGyro-mean()-Z	-0.950999878
5115	15	STANDING	fBodyGyro-mean()-Z	-0.968264855
5116	16	STANDING	fBodyGyro-mean()-Z	-0.98363927
5117	17	STANDING	fBodyGyro-mean()-Z	-0.985954978
5118	18	STANDING	fBodyGyro-mean()-Z	-0.974294413
5119	19	STANDING	fBodyGyro-mean()-Z	-0.965100636
5120	20	STANDING	fBodyGyro-mean()-Z	-0.911409912
5121	21	STANDING	fBodyGyro-mean()-Z	-0.959432562
5122	22	STANDING	fBodyGyro-mean()-Z	-0.962327765
5123	23	STANDING	fBodyGyro-mean()-Z	-0.967939565
5124	24	STANDING	fBodyGyro-mean()-Z	-0.970133388
5125	25	STANDING	fBodyGyro-mean()-Z	-0.970456863
5126	26	STANDING	fBodyGyro-mean()-Z	-0.974459324
5127	27	STANDING	fBodyGyro-mean()-Z	-0.980862493
5128	28	STANDING	fBodyGyro-mean()-Z	-0.926655192
5129	29	STANDING	fBodyGyro-mean()-Z	-0.983654714
5130	30	STANDING	fBodyGyro-mean()-Z	-0.937798125
5131	1	WALKING	fBodyGyro-mean()-Z	-0.25594094
5132	2	WALKING	fBodyGyro-mean()-Z	-0.396659907
5133	3	WALKING	fBodyGyro-mean()-Z	-0.418126217
5134	4	WALKING	fBodyGyro-mean()-Z	-0.601381129
5135	5	WALKING	fBodyGyro-mean()-Z	-0.213127031
5136	6	WALKING	fBodyGyro-mean()-Z	-0.203575459
5137	7	WALKING	fBodyGyro-mean()-Z	-0.366733618
5138	8	WALKING	fBodyGyro-mean()-Z	-0.132902199
5139	9	WALKING	fBodyGyro-mean()-Z	-0.240222512
5140	10	WALKING	fBodyGyro-mean()-Z	-0.10853003
5141	11	WALKING	fBodyGyro-mean()-Z	-0.398293337
5142	12	WALKING	fBodyGyro-mean()-Z	-0.317282484
5143	13	WALKING	fBodyGyro-mean()-Z	-0.276607955
5144	14	WALKING	fBodyGyro-mean()-Z	-0.212925759
5145	15	WALKING	fBodyGyro-mean()-Z	-0.461464066
5146	16	WALKING	fBodyGyro-mean()-Z	-0.432885311
5147	17	WALKING	fBodyGyro-mean()-Z	-0.398809218
5148	18	WALKING	fBodyGyro-mean()-Z	-0.538152345
5149	19	WALKING	fBodyGyro-mean()-Z	-0.010504707
5150	20	WALKING	fBodyGyro-mean()-Z	-0.108892496
5151	21	WALKING	fBodyGyro-mean()-Z	-0.283262475
5152	22	WALKING	fBodyGyro-mean()-Z	-0.083501182
5153	23	WALKING	fBodyGyro-mean()-Z	-0.194970369
5154	24	WALKING	fBodyGyro-mean()-Z	-0.391447921
5155	25	WALKING	fBodyGyro-mean()-Z	-0.561322951
5156	26	WALKING	fBodyGyro-mean()-Z	-0.318516813
5157	27	WALKING	fBodyGyro-mean()-Z	-0.31818238
5158	28	WALKING	fBodyGyro-mean()-Z	-0.255029045
5159	29	WALKING	fBodyGyro-mean()-Z	-0.397277495
5160	30	WALKING	fBodyGyro-mean()-Z	-0.247350344
5161	1	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.031869427
5162	2	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.087494474
5163	3	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.302866461
5164	4	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.318306481
5165	5	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.034175028
5166	6	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	0.152845249
5167	7	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.299600268
5168	8	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	0.027749807
5169	9	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.250686587
5170	10	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	0.039136681
5171	11	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.273459112
5172	12	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.212767364
5173	13	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.212906663
5174	14	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	0.49241438
5175	15	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.183194802
5176	16	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.375000626
5177	17	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.403380386
5178	18	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.447030699
5179	19	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	0.210673073
5180	20	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	0.257037841
5181	21	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.238221683
5182	22	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.194915699
5183	23	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.141266888
5184	24	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.396286646
5185	25	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.410311448
5186	26	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.221388825
5187	27	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.144904904
5188	28	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.184392337
5189	29	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.199225894
5190	30	WALKING_DOWNSTAIRS	fBodyGyro-mean()-Z	-0.263720764
5191	1	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.453597213
5192	2	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.248601122
5193	3	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.431503362
5194	4	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.350765737
5195	5	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.139801393
5196	6	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.046414211
5197	7	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	-0.408150267
5198	8	WALKING_UPSTAIRS	fBodyGyro-mean()-Z	0.165974187
